ID,Title,Software Path,Number of changes,,Software Path,Number of bugs
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/ParameterData/TaxExemptionParametersUpdater.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/TransactionLog/ControlTransactionLog/Visitors/GiftReceiteCreationVisitor.cs,3
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/ParameterLookup/TaxExemptionParametersLookupResponseBuilder.cs,4,,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/BL.BusinessComponents/Selling/BPM/Order/Activities/SuspendRetailTransactionHandler.cs,3
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/Arts/GovernmentProgramsParametersLookup.cs,4,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/V1PromotionConverters/V1DatesFactory.cs,2
87678,R10Auto:tax discount cacel,/R10/Main/Trunk/Servers/Store/App/Src/Modules/Tax/Services/Maintenance/Parameters/Maintenance/Arts/GovernmentProgramsParametersSave.cs,4,,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/TransactionLog/ControlTransactionLog/Visitors/OperatorBypassLogCreationVisitor.cs,2
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/Tests/FrontEnd.Test/Promotion/BackwardCompatibility/PromotionMaintenanceRequest.xml,3,,/R10/Main/Trunk/Components/Regional/US/Tax/StoreServer/DB/Scripts/Core/SqlServer/upgrade/5.0.3_5.0.4/0224_Schema_Tax tables.sql,2
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Release/5.x/5.0.1/Servers/Store/App/Src/ServiceHost/Tests/Retalix.StoreServer.Model.Test/Selling/Resume/RetailTransactionForResumeShould.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/PartialUpdate/ConditionsUpdate.cs,2
83251,"R10Auto: GovernmentProgramsParameters returned ""Empty response""",/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/Tests/FrontEnd.Test/Promotion/BackwardCompatibility/PromotionMaintenanceServiceShould.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessComponents/Promotion/CustomerOrder/BackwardCompatibility/PartialUpdate/PromotionUpdate.cs,2
87678,R10Auto:tax discount cacel,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RestrictionRule/SellRestrictionActivity/ConditionalRestrictionActivity/LogVisitor/ConditionRestrictionLogVisitor.cs,3,,/R10/Main/Release/5.x/5.0.3/Servers/Store/App/Src/BL.BusinessServices/FrontEnd/Promotion/BackwardCompatibility/ModelToContract/ConditionsFactory.cs,2
83358,R10Auto:TaxExemptionCancel not working,/R10/Main/Trunk/Servers/Store/App/Src/BL.BusinessComponents/Selling/Legacy/RetailTransaction/RetailTransactionLog/ARTSV6_0_0/Writer/IArtsTransactionUpdateVisitor.cs,3,,/R10/Main/Trunk/Office/Src/Modules/Promotion/Web/ViewModels/Promotion/Canvas/Rewards/MemberAccount/DataMapping/ActionPromotionMemberAccountMapper.cs,2
65903,DBA - Null values in FK columns of the TAX tables,/R10/Main/Trunk/Components/Regional/US/Tax/Office/Src/USTax/Web/ViewModels/TaxRate/DataMapping/TaxRateExtendedMapper.cs,3,,/R10/Main/Release/5.x/5.0.3/Office/Src/Modules/BusinessRules/Contracts/ViewModels/Brms/DataMapping/Conditions/BrmsProductConditionViewModelMapper.cs,2
